location,size,total_sqft,bath
Kambipura,3,1082,2
Hormavu,2,1065,2
Babusapalaya,2,1141,2
Harlur,4,3385,4
Kempegowda Nagar,3,1665,3
Hanuman Nagar,3,2072,3
5th Phase JP Nagar,2,1390,2
Chamundi Nagar,7,2800,7
Ashwini layout,1,834,1
Lakshmi Layout,4,600,5
Basaveshwara Nagar,2,1180,2
Sarjapur  Road,3,2238,3
Babusapalaya,3,1410,2
Whitefield,2,1180,2
Harlur,3,1620,3
Gubbalala,3,1745,3
Hebbal,4,2790,4
Bannerghatta Road,2,892,2
Marathahalli,3,1130,2
Kadugodi,3,1900,3
Lake City,2,780,2
Nagarbhavi,3,1400,2
Hosa Road,3,1513,3
Seshadripuram,2,1217,2
7th Phase JP Nagar,2,1035,2
Whitefield,3,3850,5
Konanakunte,3,2791,3
 south,4,3420,3
Bhoganhalli,3,1458,3
Marsur,3,715,2
Banashankari Stage I,5,3000,4
4th T block Jayanagar,3,2100,3
Chamrajpet,2,1350,2
Pattandur Agrahara,2,797,2
Marathahalli,3,1583,3
Kumarapalli,3,1488,2
Kothannur,3,1215,2
Hennur Road,3,1192,2
Chikkathoguru,2,1045,2
7th Phase JP Nagar,2,1050,2
Sarjapur  Road,2,1044,2
Kaggalipura,2,950,2
Sanjeevini Nagar,3,2820,3
Marathahalli,4,3855,4
Vishveshwarya Layout,4,600,4
Hebbal,3,2600,3
Hosa Road,1,615,1
Sanjay nagar,3,1500,3
Sarjapur  Road,3,1939,3
Sarjapur,2,925,2
CV Raman Nagar,2,1225,2
Victoria Layout,2,1300,2
Hennur Road,3,2060,3
Anekal,1,456,1
2nd Block Bel Layout,3,1625,3
Electronic City,2,1125,2
Jakkur,3,1858,3
Austin Town,1,600,2
Sri Balaji Krupa Layout,4,1750,4
Yeshwanthpur,3,1860,3
Hoodi,2,1259,2
Electronic City,2,995,2
Kanakpura Road,4,2775,3
R.T. Nagar,2,1200,2
Harlur,3,1750,3
8th Phase JP Nagar,4,1200,4
Electronic City Phase II,2,829,2
Hoodi,2,1400,2
Ramamurthy Nagar,2,1101,2
Nehru Nagar,3,2167,3
JP Nagar,3,2500,3
8th block Koramangala,4,1650,3
Garudachar Palya,4,4500,5
Gottigere,3,1493,2
Whitefield,3,1200,3
Venkatapura,1,416,1
Laggere,7,1590,9
Kumbhena Agrahara,6,1200,5
Abbigere,2,1130,2
Nagarbhavi,1,300,1
KR Puram,4,2065,4
Whitefield,3,2280,4
Vijayanagar,1,492,1
Kundalahalli,3,1500,3
Whitefield,2,1170,2
Rajarajeshwari Nagara,3,1410,2
Dasarahalli,7,2400,3
Siddapura,4,14000,3
2nd Stage Nagarbhavi,3,600,4
Kudlu Gate,3,1432,2
TC Palaya,2,1000,2
Yeshwanthpur,3,1713,3
Bellandur,7,700,8
Kodathi,2,850,2
Hongasandra,2,1065,2
Brookefield,2,1142,2
Bommasandra Industrial Area,3,1400,2
Hennur Road,3,1305,2
Nanjappa Garden,2,1275,2
Old Madras Road,3,1425,2
Bileshivale,4,5400,4
Brookefield,3,1746,3
Mahadevpura,2,1260,2
Rajaji Nagar,5,900,4
Kaval Byrasandra,2,1100,2
9th Phase JP Nagar,4,5000,4
Thanisandra,3,1265,2
Cambridge Layout,4,1600,3
Varanasi,2,1334,2
Bannerghatta Road,2,1206,2
Begur Road,3,1444,2
Nyanappana Halli,2,1140,2
Geddalahalli,5,1200,3
Kasavanhalli,3,1646,3
Bellandur,2,1049,2
Raja Rajeshwari Nagar,2,1240,2
TC Palaya,3,1600,2
Kothannur,2,1070,2
Malleshwaram,3,2475,4
Bannerghatta Road,2,1275,2
Yelahanka,2,1445,2
Kodichikkanahalli,3,1190,2
Guni Agrahara,7,1200,6
Akshaya Nagar,3,1690,3
Dasarahalli,3,1901,3
8th Phase JP Nagar,4,1200,3
Byrathi Village,4,900,3
Whitefield,2,1270,2
Sarjapur  Road,2,1115,2
Yelahanka,3,1600,2
Thanisandra,2,1276,2
Friends Colony,2,1035,2
Malleshwaram,3,2520,3
Sarjapur  Road,4,3900,4
Uttarahalli,2,1150,2
Cottonpet,4,971,2
Kalena Agrahara,3,1510,3
mvj engineering college,3,1200,3
Binny Pete,3,1282,3
Electronic City Phase II,2,545,1
Kodichikkanahalli,2,1060,2
Tejaswini Nagar,3,1410,2
Hulimavu,4,1500,4
Lakshminarayana Pura,3,1656,3
Frazer Town,3,1900,4
Sarjapur  Road,2,1026,2
R.T. Nagar,3,1140,3
Ckikkakammana Halli,2,902,2
Banashankari Stage VI,3,1410.5,2
Koramangala,3,1744,3
Mysore Road,2,883,2
Whitefield,2,1220,2
Whitefield,3,1704,3
Hennur,2,1255,2
Geddalahalli,2,893,2
Haralur Road,2,1300,2
Roopena Agrahara,3,1215,2
Vittasandra,2,1238,2
Kaval Byrasandra,2,997,2
R.T. Nagar,2,1100,2
Attibele,1,450,1
Raja Rajeshwari Nagar,3,1288,2
Ashirvad Colony,2,1100,2
Maruthi Sevanagar,2,950,2
Rajaji Nagar,2,1440,2
Shetty Halli,1,800,1
Shauhardha Layout,1,509,1
Bannerghatta Road,2,1270,2
Uttarahalli,3,1650,2
Kaggadasapura,3,1500,2
Hormavu,2,1150,2
Budigere,2,1153,2
Yelahanka,6,3600,6
Electronics City Phase 1,2,940,2
Whitefield,3,1840,3
Thigalarapalya,4,3362,5
Malleshwaram,3,2050,4
Rachenahalli,2,985,2
Anand nagar,2,1200,2
Whitefield,1,640,1
Basaveshwara Nagar,3,1200,3
Nagashetty Halli,4,16335,4
Rajaji Nagar,2,1268,2
Bellandur,3,1735,3
Hennur Road,2,973,2
Kasavanhalli,3,1494,3
8th Phase JP Nagar,3,1230,2
Bannerghatta Road,3,1655,2
Whitefield,2,1346,2
KG Halli,1,375,1
Banashankari,2,1020,2
Hosakerehalli,4,3205,5
Thanisandra,2,1220,2
Yelachenahalli,3,1400,2
Crimson Layout,2,1250,2
Ramamurthy Nagar,2,1200,2
Kenchenahalli,3,1720,3
Nagavarapalya,2,1134,2
EPIP Zone,2,1330,2
KR Puram,2,1040,2
Harsha Layout,1,450,1
Basavangudi,3,2300,3
Kundalahalli,3,1496,2
R.T. Nagar,2,1040,2
Talaghattapura,3,2038.5,3
Bellandur,2,1170,2
Whitefield,2,1024,2
Sahakara Nagar,3,2200,3
Yelachenahalli,4,900,2
Medahalli,3,1065,3
Ngef Layout,4,2100,3
Electronic City Phase II,2,1069,2
Mahadevpura,2,1058,2
Banashankari,2,1020,2
Electronics City Phase 1,3,2040,3
1st Phase JP Nagar,2,1566,2
Bhoganhalli,3,1700,3
6th Phase JP Nagar,2,1170,2
Whitefield,4,2856,5
Kanakapura Road,3,1950,3
Hebbal,2,1299,2
Harlur,2,1197,2
Whitefield,2,1074,2
Ananth Nagar,1,500,1
Sadashiva Nagar,4,3500,4
Thanisandra,2,1460,2
Bellandur,2,1410,3
Indira Nagar,2,1475,2
Ramanagara Channapatna,4,1200,2
Upadhyaya Layout,3,1300,2
Rajaji Nagar,4,6500,5
Whitefield,4,2400,5
Haralur Road,2,1027,1
Jai Bheema Nagar,3,1470,2
Lingadheeranahalli,3,1683,3
Sai Gardens,2,1339,2
Talaghattapura,3,2265,3
Kothanur,3,1435,3
Nagadevanahalli,2,1090,2
Vishwapriya Layout,2,1235,2
Dodda Nekkundi,2,850,2
Giri Nagar,1,600,1
Electronic City Phase II,2,1020,2
Dasarahalli,2,1220,2
1st Block Jayanagar,4,2400,4
Uttarahalli,3,1285,2
Vittal Nagar,2,1000,2
KR Puram,2,1035,2
Kammasandra,2,810,2
 Devarachikkanahalli,3,1417,2
Abbigere,8,3000,8
Hosakerehalli,3,1795,3
Kaggadasapura,2,1132,2
Nallurhalli,2,1100,2
Raja Rajeshwari Nagar,2,1196,2
Shree Ananth Nagar Layout,2,1154,2
Haralur Road,2,1140,2
5th Stage BEML Layout,3,2000,3
1st Block HBR Layout,4,3150,4
Electronic City,3,1025,2
Sarjapur  Road,3,1787,3
Kathriguppe,3,1300,3
Amruthahalli,3,2650,4
Mallappa Layout,3,1500,3
Marathahalli,3,1350,2
Koramangala,3,1745,3
Yeshwanthpur,2,1277.5,2
Vittasandra,2,1246,2
"Off Sarjapur Road, ",3,1518,3
Sarjapur  Road,3,1819,3
KR Puram,2,1150,2
Jalahalli,1,612.5,1
Raja Rajeshwari Nagar,2,1240,2
Brookefield,4,3532,3
Cooke Town,3,1850,3
Panathur,2,1125,2
Somasundara Palya,3,1575,3
Electronic City,2,1070,2
Shanti Nagar,2,420,1
Jigani,2,914,2
Kathriguppe,3,1335,2
Mysore Road,2,1170,2
Horamavu Agara,3,1453,2
Kanakpura Road,2,700,2
Yeshwanthpur,4,1200,4
Thigalarapalya,2,1418,2
Hebbal,3,3500,3
Sarjapur,4,3300,4
Channasandra Layout,5,3100,6
Langford Town,3,912,2
Hormavu,2,1165,2
Electronic City,3,1350,3
Hosakerehalli,3,1817,4
Old Madras Road,3,1350,3
Thanisandra main road,4,4110,4
Banashankari,3,1770,3
Billekahalli,2,1125,2
Ananth Nagar,1,500,1
Thubarahalli,3,1242,3
Avalahalli,2,1053,2
Domlur,1,640,1
Whitefield,3,1738,2
 Thanisandra,1,510,1
Hoodi,2,1225,2
Hebbal,2,1440,2
Kereguddadahalli,2,800,2
Ambalipura,3,1800,3
Uttarahalli,3,1265,2
Lakshmi Layout,9,900,10
Bommasandra Industrial Area,2,1130,2
Parappana Agrahara,2,1194,2
Bhagyalakshmi Avenue,1,540,1
Electronic City,2,1020,2
Electronic City,3,1400,2
Thanisandra,2,1110,2
GKW Layout,4,1350,4
Doddanekundi,3,1760,3
Attibele,2,1000,2
Kudlu Gate,3,1535,3
Old Madras Road,4,3715,6
Uttarahalli,2,1200,2
Vidyaranyapura,2,1100,2
R.T. Nagar,2,1500,2
Devanahalli Road,3,1532,3
Basavanapura,7,1800,5
Kuvempu Nagar,3,1540,3
Abbigere,1,765,2
Whitefield,2,1170,2
Varthur,3,1665,3
Hennur Busstop,2,1100,2
Jalahalli East,4,720,4
Electronic City Phase II,3,1310,2
Banashankari,2,1260,2
Whitefield,2,1317,2
Syndicate Bank Colony,3,1200,3
Bellandur,3,1420,3
Channasandra,6,4200,6
Chikkabanavar,8,4000,7
Hosur Road,3,1370,3
Kengeri,1,400,1
Yeshwanthpur,2,1195,2
Kachanayakanahalli,2,861,2
Sarjapur  Road,2,1000,2
Thanisandra,3,1430,2
7th Phase JP Nagar,2,1050,2
Hebbal,3,1920,3
Uttarahalli,2,1025,2
Jakkur Plantation,3,1765,3
Kaggadasapura,3,1350,3
Roopena Agrahara,2,1200,2
Ardendale,3,1750,3
Kenchenhalli,3,1786,3
Vasanth nagar,3,3025,3
Sahakara Nagar,3,1100,2
Electronic City Phase II,4,1900,3
Sarjapur  Road,4,3005,5
Ramamurthy Nagar,3,3600,3
BTM Layout,3,1540,2
Electronic City,2,1140,2
Rajaji Nagar,3,2450,3
Kanakpura Road,3,1100,2
Kanakpura Road,3,1100,3
KR Puram,1,700,1
R.T. Nagar,2,1080,2
Hoysalanagar,3,1325,3
Vidyaranyapura,6,1060,6
Whitefield,3,1897,3
Hennur Road,2,1385,2
Srirampura,7,1875,5
Baba Nagar,2,700,2
Vijayanagar,3,1826,3
Jakkur,3,1785,3
Kalasipalya,7,1875,2
Lavelle Road,3,2500,3
Kengeri,1,500,1
Yelenahalli,3,1600,3
Babusapalaya,2,1100,2
Kasavanhalli,2,1121,2
Singapura Village,4,2230,4
Mahadevpura,2,1050,2
Haralur Road,4,3700,4
Kengeri,2,927,2
Raja Rajeshwari Nagar,3,1280,3
Electronics City Phase 1,2,1300,2
Jalahalli West,2,782,2
Whitefield,4,4800,5
Marathahalli,2,1019,2
Hosur Road,2,1180,2
Koramangala,2,1180,2
Vignana Nagar,5,800,4
Ashirvad Colony,2,1100,2
Raja Rajeshwari Nagar,3,1260,2
Choodasandra,2,1140,2
Carmelaram,3,1732.5,3
Kudlu,3,1245,2
Budigere,3,1820,3
"Off Sarjapur road, ",4,3000,4
Kundalahalli,3,1724,3
Koramangala,2,1260,2
Electronic City,2,1110,2
Uttarahalli,2,1125,2
Tata Nagar,2,1364,2
KR Garden,2,925,2
Yeshwanthpur,3,1676,3
manyata park,3,1780,3
Kudlu Gate,3,1850,3
HSR Layout,2,1185,2
Gulimangala,3,1690,3
Talaghattapura,2,1100,2
6th Phase JP Nagar,3,1250,3
Banjara Layout,3,600,3
VGP Layout,2,1176,2
Kenchenahalli,1,715,1
Sarjapur,4,2970,3
Huskur,2,1125,2
Thigalarapalya,3,2215,4
Hosa Road,3,1318,2
Marathahalli,4,3400,4
Banashankari Stage III,3,1350,2
Old Airport Road,2,1055,2
Rajaji Nagar,4,3730,4
Ejipura,7,1800,7
9th Phase JP Nagar,4,3500,4
Electronic City,3,1360,2
9th Phase JP Nagar,3,1240,2
Kasavanhalli,3,1980,3
Byadarahalli,3,3071,4
Kanakpura Road,3,1610,3
Cleveland Town,2,1100,2
Yelahanka,2,890,2
Badavala Nagar,3,1842,3
Hormavu,2,1050,2
1st Block HRBR Layout,3,600,3
Peenya,3,1286,3
Doddakannelli,3,1475,3
Sarjapur  Road,2,1200,2
Ramagondanahalli,3,1910,3
Electronic City,2,1200,2
Banashankari,2,1181,2
Kanakpura Road,2,1207,2
Kothanur,2,1185,2
Kudlu Gate,1,1400,1
Arekere,2,1222,2
Devanahalli,2,1260,2
Kudlu Gate,3,1532,3
Dinnur,3,1700,3
Kudlu,2,1300,2
Domlur Layout,3,2000,3
Marathahalli,3,1950,3
Palace Road,3,1480,2
KR Puram,2,734,2
Attibele,1,400,1
Maruthi Nagar,10,3300,9
Whitefield,2,1192,2
Hennur Road,2,1157,2
Yelahanka,2,1115,2
Panduranga Nagar,1,500,1
Kanakpura Road,3,1425,2
Sarjapur  Road,2,1346,2
Banaswadi,6,1000,4
Mahadevpura,2,1475,2
Tumkur Road,2,708,2
Kothnur Narayanapura,2,1290,1
Bannerghatta Road,2,1000,2
Hosa Road,2,1170,2
Kalena Agrahara,2,1187,2
Sarjapur  Road,3,1428,2
Kaggadasapura,3,1495,3
Rachenahalli,2,1050,2
Electronic City Phase II,3,1400,2
Yelahanka,4,2912.5,6
Budigere,2,1153,2
Hennur Road,2,1232,2
Raja Rajeshwari Nagar,3,1529,3
Electronics City Phase 1,2,1145,2
Shivaji Nagar,3,1460,2
Sarjapur,2,1175,2
Electronic City,2,1140,2
Electronics City Phase 1,2,950,2
5th Phase JP Nagar,2,1207,2
Electronics City Phase 1,2,1015,2
R.T. Nagar,4,1800,3
"Banashankari 6th stage , 2nd block",3,600,4
Marathahalli,2,1350,2
Bommasandra,3,1200,3
Electronics City Phase 1,3,1750,3
Battarahalli,3,2082,3
Kalena Agrahara,2,800,2
Vijayanagar,3,1704,3
Electronics City Phase 1,2,1113.27,2
Whitefield,3,1635,2
Kathriguppe,2,754,2
Rayasandra,2,1253,2
JP Nagar,2,1107,2
Kengeri,3,1200,3
Hennur,3,1655,2
Uttarahalli,2,1075,2
Richmond Town,2,1233,2
Whitefield,4,5924,4
Electronic City,1,418,1
Uttarahalli,7,1200,7
Hebbal,4,2470,5
EPIP Zone,3,1860,3
Bannerghatta Road,3,1344,2
Kengeri,2,1052,2
Marathahalli,4,4000,4
Jai Bheema Nagar,2,1339,2
Pai Layout,2,1150,2
B Y Raveshwara Nagar,4,1200,2
Sector 6 HSR Layout,3,3800,3
Varthur,2,986,2
Whitefield,3,1500,3
Bommanahalli,2,1350,2
Motappa Layout,2,1113,2
Whitefield,2,1300,2
Whitefield,4,2500,4
Thanisandra,3,1917,4
Old Madras Road,5,4500,7
Bisuvanahalli,3,1080,2
Sadashiva Nagar,5,9600,7
Jigani,3,1221,3
Ejipura,3,2070,3
BHEL Layout,6,2400,4
Ramagondanahalli,5,9600,6
Raghuvanahalli,1,425,1
Jalahalli East,2,1010,2
Vijaya Bank Layout,5,2400,5
Somasundara Palya,2,1448,2
Channasandra,3,1800,3
Hosa Road,2,1079,2
Kengeri,2,963,2
Whitefield,2,1187,2
Gollahalli,3,1325,2
Balagere,2,1380,2
Vishwanatha Nagenahalli,2,1050,2
Chikka Banaswadi,3,1555,3
Hosa Road,3,1332,2
Bisuvanahalli,3,1075,2
Karuna Nagar,3,2500,3
Indira Nagar,1,850,1
Ananth Nagar,2,1000,2
Singasandra,3,1440,2
Thanisandra,2,1098,2
Sarjapur  Road,4,3785,5
Harlur,2,1200,2
Whitefield,3,2280,4
Lakshminarayana Pura,2,1200,2
Sarjapur  Road,3,1350,3
Banashankari Stage V,3,1510,3
Gottigere,3,1400,2
GD Layout,2,1094,2
Padmanabhanagar,2,1100,2
Thanisandra,5,750,4
KR Puram,5,3300,3
Hormavu,1,715,1
Rajaji Nagar,6,1800,4
Gottigere,3,1385,2
Ramamurthy Nagar,2,1150,2
Horamavu Agara,3,1176,2
Kaverappa Layout,3,1540,3
D Group Employees Layout,4,1200,4
HAL 2nd Stage,3,2700,3
Kodigehaali,3,1320,3
EPIP Zone,4,3800,5
Marsur,3,1200,3
Kanakpura Road,2,1470,2
Hoodi,4,2065.5,4
Babusapalaya,2,1061,2
Vajarahalli,5,600,3
Marathahalli,3,1315,2
Udaya Nagar,2,1225,2
Chennammana Kere,3,1480,3
Thanisandra,1,777,1
Haralur Road,4,3400,5
Uttarahalli,2,1123,2
Whitefield,2,1295,2
D Group Employees Layout,5,4400,5
Neeladri Nagar,1,640,1
TC Palaya,5,1440,5
Uttarahalli,3,1788,3
Malleshwaram,4,6500,4
Hormavu,2,1046,2
1st Phase JP Nagar,2,1394,2
Akshaya Nagar,3,1893,4
Seegehalli,2,1176,2
Kumaraswami Layout,7,3100,7
Thanisandra,3,1200,2
Seshadripuram,2,600,3
Kodigehalli,8,1150,9
Uttarahalli,3,1617,3
Bellandur,3,2400,3
Bellandur,3,1535,3
12th cross srinivas nagar banshankari 3rd stage,1,1800,1
Hormavu,2,1210,2
Rajaji Nagar,2,1200,1
Kalkere,2,925,2
Hebbal,3,1636,3
Dodda Banaswadi,3,1500,3
Hoodi,3,1660,3
Whitefield,2,1216,2
Kengeri Satellite Town,3,1415,2
Bommanahalli,2,1050,2
Thirumenahalli,2,1100,2
Whitefield,2,1216,2
Sarjapur,4,2585.5,4
Thigalarapalya,2,1418,2
Doddakallasandra,3,2493,3
Haralur Road,2,1300,2
Gollahalli,2,1060,2
Dasanapura,2,708,1
Sarjapur  Road,2,1320,2
Sarjapur  Road,3,1685,3
Manjunatha Layout,2,1200,2
Electronic City,2,1070,2
Rajaji Nagar,3,1640,3
Banashankari,3,600,3
Hosakerehalli,9,1380,9
Electronic City,2,1128,2
Hosur Road,5,3300,5
Electronic City,2,1150,2
Yarandahalli,3,1350,2
Harlur,2,936,2
Tumkur Road,3,1354,3
Uttarahalli,3,1540,3
Kamakshipalya,2,1150,2
Babusapalaya,2,1141,2
Kuvempu Layout,3,2200,4
Kanakpura Road,3,1452,3
HSR Layout,2,1140,2
Bellandur,2,1457,2
Xavier Layout,3,1524,4
9th Phase JP Nagar,2,1127,2
JCR Layout,2,1160,2
Begur Road,2,1160,2
Mahalakshmi Layout,4,1050,1
Yelahanka New Town,1,284,1
"JP nagar 9th Phase, ",3,1531,3
CV Raman Nagar,2,1025,2
Nagondanahalli,2,1095,2
Talaghattapura,2,1062,2
Whitefield,3,3150,3
Chennammana Kere,2,1100,2
Binny Pete,1,665,1
Raja Rajeshwari Nagar,2,1608,2
Kammagondahalli,2,1263,2
Battarahalli,2,1200,2
Jaraganahalli Jp Nagar Post,4,600,4
Vidyaranyapura,4,600,3
Malleshwaram,5,7500,7
Whitefield,2,1276,2
Ananth Nagar,3,1319,3
KR Garden,3,1700,3
Chandapura,3,1190,2
GM Palaya,2,1030,2
Whitefield,2,1205,2
Hennur Road,2,1140,2
Sarjapur,3,1445,3
Thanisandra,1,693,1
Singapura Village,4,600,5
HSR Layout,2,1140,2
Jnanabharathi Layout,4,2400,3
Ulsoor,3,2700,3
Varsova Layout,3,1280,2
Haralur Road,3,1830,3
Nagashetty Halli,2,840,1
Hosa Road,3,1532,3
Kengeri Satellite Town,3,1191,2
Amruthahalli,3,1700,3
Bellandur,2,924,2
JP Nagar,3,1850,2
Panathur,2,1000,2
Electronic City,2,1128,2
Binny Pete,3,1282,3
BTM 2nd Stage,2,950,2
Hongasandra,2,1065,2
Malleshwaram,2,1124,3
Whitefield,2,1085,2
Hulimavu,3,1320,2
Electronic City,3,1530,2
Vasantha Vallabha Nagar,3,1280,2
Sri Sai Layout,2,1000,2
Sarjapur  Road,3,1877,4
Koramangala,2,1005,1
Varthur,2,1402,2
Yelahanka,3,2195,4
Vidyaranyapura,2,1200,2
Narayanappa Garden,2,1475,2
Old Airport Road,4,3200,4
frazertown,3,2900,3
Nobo Nagar,6,1500,7
Bharathnagar,2,1245,2
Thanisandra,2,1265,2
Sarjapur  Road,3,1750,3
Doddathoguru,2,1015,2
Kanakpura Road,1,525,1
Kammasandra,3,1365,2
Thanisandra,1,693,1
Hosakerehalli,3,2376,3
Abbaiah Reddy Layout,3,1310,2
M.G Road,2,1250,2
Babusapalaya,3,1358,2
Yeshwanthpur,3,1693,3
Somasundara Palya,3,1600,3
Bhoganhalli,3,1760,3
ITPL,4,5667.5,5
Kasavanhalli,3,1450,3
Yelahanka,4,3206,5
Kasavanhalli,2,1158,2
Hoysalanagar,2,1100,2
Electronic City,3,1360,2
Mallasandra,2,1200,2
Akshaya Nagar,4,1410,4
Rachenahalli,3,2710,3
Frazer Town,3,2214,3
BTM 4th Stage,2,1350,2
Nagarbhavi,4,600,5
Pulikeshi Nagar,3,2280,3
Magadi Road,2,750,2
Kogilu,1,700,1
Benson Town,3,3200,4
Hebbal,3,1255,2
Kadugondanahalli,6,727,6
Sarjapur  Road,4,3416.5,6
Lakshmipura,2,1225,2
Sindhi Colony,5,5665.84,7
Yemlur,8,12000,9
Kathriguppe,3,1350,3
Doddathoguru,2,984,2
7th Phase JP Nagar,2,1175,2
1st Phase JP Nagar,3,2024,3
7th Phase JP Nagar,2,1000,2
9th Phase JP Nagar,2,1005,2
Bannerghatta Road,3,1660,3
Whitefield,2,1216,2
OMBR Layout,5,2400,5
Hebbal,2,1244,3
Marathahalli,2,1146,2
Talaghattapura,3,1868,3
Sector 2 HSR Layout,9,600,9
Choodasandra,2,1180,2
OMBR Layout,2,1085,2
Electronics City Phase 1,1,580,1
Yelahanka,3,1590,2
Raja Rajeshwari Nagar,3,1530,3
Chandapura,2,800,2
ITPL,4,3262,5
Sarjapur  Road,2,1194,2
Lingadheeranahalli,3,1683,3
Magadi Road,2,1000,2
Gottigere,1,1806,1
5th Phase JP Nagar,2,1075,2
Koramangala,4,2700,4
B Narayanapura,2,1313,2
Rajaji Nagar,7,12000,6
Malleshpalya,3,1785,3
Subhash Nagar,4,1200,4
Kasturi Nagar,2,1000,2
Hennur,3,1150,3
Hennur Road,2,1297,2
Kengeri Satellite Town,4,936,2
Electronic City,2,1070,2
Begur Road,3,1410,2
Gulakamale,2,1200,2
"Hoodi Circle, ",2,1234,2
Rachenahalli,3,2721,3
Begur Road,3,680,4
Wilson Garden,1,735,1
Kodigehalli,3,1820,3
Bidadi,2,1600,2
5th Phase JP Nagar,2,1450,2
Ramamurthy Nagar,2,1150,2
Yelahanka,1,697,1
Yelahanka,2,1065,2
Channasandra,2,1030,2
Sidedahalli,9,1200,7
Electronics City Phase 1,2,940,2
Raja Rajeshwari Nagar,8,4800,8
Hoodi,3,1746,3
Banashankari,3,1900,2
Margondanahalli,2,1200,1
Yelahanka,1,26136,1
Chandapura,2,778,2
Old Madras Road,2,1211,2
Talaghattapura,2,1040,2
Sahakara Nagar,3,1370,2
Subramanyapura,3,1278,3
Marathahalli,2,1220,2
Thanisandra,3,1430,2
Cambridge  road,3,1000,2
Kattigenahalli,2,1200,1
Sarjapur  Road,3,2180,4
Hebbal Kempapura,3,1725,2
AMS Layout,3,1200,4
Sonnenahalli,1,605,1
Haralur Road,3,1464,3
Kadabagere,2,675,1
Hennur,4,3517,
Kaggadasapura,3,1280,2
Sarjapur,2,1175,2
frazertown,3,2000,3
1st Block Jayanagar,4,2850,4
Yelahanka,3,1614,3
Kundalahalli,3,1724,3
Doddakannelli,3,780,3
Bannerghatta Road,3,1460,2
Ramamurthy Nagar,2,935,2
Haralur Road,3,1817,3
Yelahanka,3,1517,3
Electronic City,4,2000,4
Hennur Road,3,1482,2
Munnekollal,2,1170,2
Sarjapur  Road,3,1157,2
JP Nagar,3,3496.5,
Hormavu,4,2282,4
Sarjapur  Road,4,4000,5
Yelahanka,1,602,1
Gottigere,1,812,1
Marathahalli,1,615,1
Chikkalasandra,3,1230,2
Ejipura,2,922,2
Chelekare,1,600,1
Chandapura,1,645,1
Somasundara Palya,3,1575,3
Somasundara Palya,2,1185,2
Bannerghatta Road,3,1625,2
Kaggadasapura,3,1500,2
Sathya Sai Layout,4,6688,6
Kanakpura Road,2,1220,2
Koramangala,4,2461,6
Hulimavu,2,1100,2
Horamavu Banaswadi,2,1025,2
Electronics City Phase 1,2,1085,2
Kaval Byrasandra,3,1400,3
Rajiv Gandhi Nagar,2,1219,2
Madiwala,4,910,4
Murugeshpalya,2,1296,2
KUDLU MAIN ROAD,3,1464,3
Panathur,2,1193,2
Old Town,8,750,8
VHBCS Layout,2,1353,2
Pattandur Agrahara,2,900,2
Rajaji Nagar,2,1763,3
9th Block Jayanagar,6,1200,5
Kasavanhalli,2,1495,2
Bisuvanahalli,2,845,2
Neeladri Nagar,1,674,1
Bhoganhalli,3,1760,3
Jakkur,2,1473,2
JP Nagar,2,1200,2
Chikkabanavar,4,2460,7
Green View Layout,2,1150,2
Sarjapur  Road,4,2750,5
Electronic City,3,1470,2
4th Block Koramangala,9,4500,9
BEL Layout,2,1375,2
Subramanyapura,2,1050,2
Yelahanka,2,1140,2
Nagarbhavi,3,1850,2
Malleshwaram,3,2345,
Old Airport Road,2,946,2
Vinayaka Nagar,2,1340,2
Jakkur,3,1819.18,3
Nehru Nagar,2,961,2
Bellandur,1,950,1
Narayanapura,3,2357,3
Weavers Colony,1,812,1
Somasundara Palya,3,2300,2
Nelamangala,2,820,2
7th Phase JP Nagar,3,1680,3
Bannerghatta Road,3,1465,2
Sanjay nagar,2,630,1
Whitefield,3,3480,4
Vittasandra,3,1650,3
Devara Jeevanahalli,4,400,2
Whitefield,4,4500,4
Lakkasandra,9,4500,9
Ambedkar Nagar,3,1935,4
Kanakpura Road,2,1296,2
Kasturi Nagar,4,784,2
Sarjapur,3,1200,3
Rachenahalli,2,1050,2
Raja Rajeshwari Nagar,3,1530,3
6th Phase JP Nagar,3,1515,2
Doddanakunte,5,2700,5
TC Palaya,3,1200,3
Jigani,3,1221,3
RMV 2nd Stage,2,1200,2
Sathya Sai Layout,4,6652,6
Harlur,3,3425,3
Electronic City,2,1165,2
Yeshwanthpur,2,1144,2
Sarjapur  Road,2,1280,2
Basaveshwara Nagar,2,1200,2
Cooke Town,3,2300,3
Singena Agrahara,3,1500,3
KEB Colony,2,1040,2
Uttarahalli,2,1134,2
Uttarahalli,2,1200,2
Kasthuri Nagar East Of NGEF,6,2400,7
Bannerghatta Road,4,3000,4
Kaikondrahalli,4,1700,4
Sarjapur  Road,3,1380,2
Belathur,2,1081,2
Bhagyalakshmi Avenue,2,955,1
Kasavanhalli,3,1476,3
Varthur Road,2,1140,2
Hormavu,2,1129,2
8th Phase JP Nagar,5,1730,5
Srinivasa Nagar,3,1200,2
Whitefield,2,1170,2
Bhoganhalli,2,1447,2
Hebbal,8,6000,8
Panathur,2,1210,2
Old Madras Road,4,2600,4
Balagere,1,645,1
Billekahalli,2,950,2
Williams Town,3,1500,2
Thigalarapalya,4,3122,6
Yelahanka,4,2675,4
