location,size,total_sqft,bath,price
Haralur Road,1.0,575.0,1.0,38.0
Sarjapur,4.0,3854.5,6.0,385.5
Electronic City,2.0,1128.0,2.0,65.7
Uttarahalli,2.0,1125.0,2.0,47.0
Iblur Village,2.0,1400.0,2.0,68.0
near Ramanashree California resort,6.0,3600.0,4.0,160.0
Pattanagere,2.0,850.0,2.0,35.0
Whitefield,4.0,2850.0,5.0,240.0
Hebbal,4.0,4235.0,4.0,365.0
Varthur,3.0,1615.0,3.0,69.43
Kasturi Nagar,5.0,1650.0,5.0,450.0
Banagiri Nagar,3.0,2008.0,3.0,170.0
Begur Road,3.0,1500.0,2.0,70.0
Kathriguppe,3.0,1250.0,2.0,68.75
Govindapura,2.0,1310.0,2.0,88.0
Anjanapura,3.0,1843.0,3.0,87.54
Near International Airport,2.0,1330.0,2.0,56.0
KR Puram,2.0,1550.0,2.0,71.0
Yelenahalli,2.0,1260.0,2.0,47.88
Green Glen Layout,3.0,1575.0,3.0,125.0
Sarjapura - Attibele Road,2.0,1308.0,2.0,37.0
Raja Rajeshwari Nagar,2.0,1306.0,2.0,55.91
Avalahalli,3.0,2045.0,3.0,108.0
NGR Layout,2.0,1021.0,2.0,46.0
Sarjapur  Road,3.0,2275.0,4.0,180.0
Talaghattapura,2.0,921.0,2.0,29.47
Thanisandra,3.0,1732.0,3.0,85.73
Nagavara,3.0,2430.0,4.0,180.0
Haralur Road,1.0,575.0,1.0,88.0
Choodasandra,2.0,1115.0,2.0,50.0
Tindlu,7.0,7500.0,7.0,400.0
Marathahalli,2.0,1125.0,2.0,55.0
Talaghattapura,3.0,2254.0,3.0,170.0
Harlur,3.0,1709.0,3.0,150.0
Marathahalli,3.0,1600.0,3.0,58.0
Sahakara Nagar,3.0,2400.0,3.0,270.0
Electronic City Phase II,3.0,1310.0,2.0,37.83
Jalahalli,3.0,1615.0,3.0,89.75
Anjanapura,3.0,1347.0,2.0,37.72
Doctors Layout,3.0,1450.0,3.0,75.0
Meenakunte,3.0,3900.0,3.0,250.0
Kodichikkanahalli,2.0,1025.0,2.0,66.0
Yelahanka,3.0,1282.0,2.0,48.7
Sarjapur  Road,3.0,1525.0,2.0,65.0
Seetharampalya,3.0,1500.0,3.0,90.0
Gollarapalya Hosahalli,3.0,1605.0,3.0,50.0
Horamavu Agara,2.0,1107.83,2.0,41.51
Rajaji Nagar,3.0,2533.0,3.0,425.0
Electronic City,2.0,975.0,2.0,32.0
Indira Nagar,4.0,2800.0,4.0,365.0
Yelahanka New Town,2.0,1100.0,2.0,58.0
Sree Narayana Nagar,3.0,1358.0,3.0,50.0
KR Puram,3.0,1559.0,3.0,69.315
Billekahalli,3.0,2400.0,3.0,150.0
Kodigehaali,2.0,1117.0,2.0,56.0
Hennur,2.0,1255.0,2.0,53.5
Ittamadu,5.0,1200.0,4.0,130.0
Vijinapura,2.0,1290.0,2.0,71.95
Uttarahalli,3.0,1345.0,2.0,57.0
Bagalakunte,2.0,1200.0,4.0,138.0
Akshaya Nagar,3.0,1476.0,3.0,120.0
 Rachenahalli,1.0,440.0,1.0,28.0
Thigalarapalya,3.0,2072.0,4.0,160.0
Bhuvaneshwari Nagar,2.0,1100.0,2.0,57.0
Chikkalasandra,5.0,1000.0,4.0,300.0
Anekal,2.0,1200.0,1.0,36.0
Peenya,2.0,708.0,1.0,55.0
Vasanth nagar,6.0,2295.0,3.0,650.0
Kudlu,4.0,2100.0,3.0,114.0
Chikkabanavar,2.0,1067.0,2.0,38.0
Maruthi Sevanagar,4.0,2000.0,3.0,180.0
Bellandur,2.0,1201.0,2.0,59.99
Bellandur,2.0,1251.0,2.0,47.0
Kambipura,3.0,1082.0,2.0,55.0
Marathahalli,2.0,1270.0,2.0,73.0
Mylasandra,1.0,500.0,2.0,80.0
Kammanahalli,4.0,2900.0,4.0,200.0
Chikkalasandra,3.0,1428.0,2.0,80.0
Chamrajpet,3.0,1565.0,3.0,98.91
7th Phase JP Nagar,3.0,1400.0,3.0,115.0
Hennur Road,2.0,1040.0,2.0,50.0
Anandapura,2.0,1200.0,2.0,67.0
Tindlu,2.0,1050.0,2.0,55.0
Whitefield,5.0,3453.0,4.0,231.0
Kothanur,2.0,1142.0,2.0,56.0
Kengeri Satellite Town,4.0,650.0,2.0,58.0
Sarjapur  Road,3.0,1700.0,3.0,110.0
Ramamurthy Nagar,5.0,3500.0,5.0,150.0
Hegde Nagar,3.0,1569.0,3.0,101.0
Hennur Road,3.0,2002.0,3.0,120.0
Ramakrishnappa Layout,3.0,2770.0,3.0,460.0
BTM Layout,6.0,3300.0,6.0,165.0
Whitefield,2.0,1400.0,2.0,80.0
Electronics City Phase 1,2.0,1175.0,2.0,50.0
Hennur Road,2.0,1030.0,2.0,46.5
Marsur,3.0,1000.0,4.0,66.0
Electronic City,2.0,1250.0,2.0,62.0
Yelahanka,2.0,870.0,2.0,27.0
Thanisandra,3.0,1690.0,3.0,125.0
Hebbal Kempapura,3.0,1466.0,2.0,140.0
Domlur,3.0,1540.0,3.0,90.0
Yelahanka,3.0,1835.0,3.0,108.0
Ambalipura,3.0,1817.0,3.0,102.0
8th Phase JP Nagar,1.0,500.0,1.0,33.0
Kengeri Satellite Town,2.0,635.0,1.0,22.0
Kundalahalli Colony,2.0,1280.0,2.0,69.0
Govindaraja Nagar Ward,2.0,840.0,2.0,45.0
Whitefield,2.0,1205.0,2.0,58.0
Kodigehaali,2.0,1166.0,2.0,55.0
Hongasandra,2.0,1180.0,2.0,39.0
Whitefield,2.0,1200.0,2.0,45.84
Kodbisanhalli,2.0,1012.0,2.0,59.0
Kanakpura Road,2.0,1332.0,2.0,108.0
Garudachar Palya,3.0,1320.0,2.0,60.6
Varthur,2.0,674.0,1.0,19.9
Dodda Nekkundi,2.0,1260.0,2.0,55.0
Mallasandra,3.0,1665.0,3.0,95.0
Kanakpura Road,3.0,1050.0,2.0,59.0
Akshya Nagar,2.0,1380.0,2.0,75.0
Kammanahalli,4.0,1600.0,4.0,200.0
Vyalikaval,2.0,1100.0,2.0,75.0
Jalahalli,3.0,980.0,2.0,60.0
NRI Layout,5.0,2500.0,5.0,130.0
HSR Layout,4.0,2500.0,4.0,300.0
Marathahalli,5.0,2500.0,3.0,200.0
Ilyas Nagar,4.0,600.0,3.0,95.0
Varsova Layout,6.0,7000.0,6.0,560.0
Raja Rajeshwari Nagar,2.0,1400.0,2.0,45.0
Raja Rajeshwari Nagar,2.0,1143.0,2.0,38.65
Vijayanagar,2.0,1200.0,2.0,62.0
Kodbisanhalli,4.0,4800.0,5.0,629.0
Doddathoguru,2.0,1105.0,2.0,50.0
Chellikere,2.0,1088.0,2.0,46.0
Kumarapalli,3.0,1488.0,2.0,60.0
Koramangala,2.0,1084.0,2.0,179.0
Thigalarapalya,2.0,1418.0,2.0,103.0
Kenchenahalli,3.0,480.0,3.0,65.0
Hennur Road,3.0,1482.0,2.0,92.0
Whitefield,2.0,1140.0,2.0,45.0
Haralur Road,3.0,2017.0,2.0,125.0
Battarahalli,2.0,1090.0,2.0,38.37
Kothnoor Dinne,2.0,1200.0,2.0,35.0
Shikaripalya,2.0,1025.0,2.0,39.98
Sarjapura - Attibele Road,5.0,3750.0,6.0,295.0
Bisuvanahalli,3.0,1080.0,2.0,45.0
Poorna Pragna Layout,2.0,1160.0,2.0,46.39
Sarjapur  Road,2.0,1067.0,2.0,60.0
Thigalarapalya,2.0,1418.0,2.0,101.0
Balagere,2.0,1210.0,2.0,72.0
Sarjapur  Road,3.0,1846.0,3.0,145.0
Sarjapur  Road,2.0,1320.0,2.0,115.0
Nrupathunga Nagar,7.0,1200.0,5.0,80.0
Lakshminarayana Pura,3.0,3050.0,2.0,90.0
Iblur Village,3.0,2666.0,4.0,200.0
JP Nagar,2.0,1300.0,2.0,91.65
Balaji Gardens Layout,1.0,825.0,2.0,40.0
Nallurhalli,2.0,1250.0,2.0,65.0
Singanayakanahalli,3.0,1500.0,2.0,65.0
Whitefield,3.0,2225.0,3.0,115.0
Hebbal Kempapura,4.0,1200.0,3.0,148.0
Sarjapur  Road,2.0,1320.0,2.0,100.0
Sompura,4.0,2150.0,3.0,85.0
S R Layout,2.0,1096.0,2.0,48.0
Banashankari Stage III,3.0,1480.0,3.0,75.48
Jp nagar 8th Phase .,10.0,12000.0,12.0,525.0
Gottigere,2.0,1170.0,2.0,40.0
Dodda Nekkundi,2.0,1148.0,2.0,56.0
Cox Town,2.0,1280.0,2.0,120.0
Harlur,3.0,1755.0,3.0,130.0
Begur Road,2.0,1215.0,2.0,43.13
P&T Layout,2.0,935.0,2.0,45.9
Uttarahalli,3.0,1590.0,3.0,57.0
Kudlu,2.0,1162.0,2.0,52.0
Whitefield,2.0,1240.0,2.0,70.0
Jigani,2.0,918.0,2.0,55.0
Nagappa Reddy Layout,2.0,1100.0,2.0,43.5
Varthur,2.0,986.0,2.0,30.0
Veerannapalya,2.0,950.0,2.0,45.0
Lingadheeranahalli,3.0,1530.0,2.0,90.0
Margondanahalli,2.0,1140.0,2.0,60.0
Kattigenahalli,7.0,4100.0,7.0,140.0
Balagere,2.0,1205.0,2.0,63.86
Whitefield,2.0,1355.0,3.0,76.0
Bisuvanahalli,2.0,945.0,2.0,33.0
Yelahanka New Town,2.0,860.0,1.0,31.0
Whitefield,4.0,2155.0,3.0,125.0
Sarjapur  Road,2.0,1115.0,2.0,50.0
Horamavu Agara,2.0,755.0,2.0,37.49
Kodigehaali,4.0,1200.0,4.0,130.0
Maragondanahalli,2.0,720.0,2.0,45.0
Raja Rajeshwari Nagar,2.0,1100.0,2.0,55.0
Richmond Town,3.0,1100.0,2.0,145.0
7th Phase JP Nagar,8.0,1200.0,8.0,250.0
Hennur Road,2.0,1232.0,2.0,89.0
Begur Road,2.0,1160.0,2.0,44.08
Basaveshwara Nagar,8.0,1230.0,6.0,250.0
1st Stage Indira Nagar,4.0,3000.0,4.0,301.0
Rajaji Nagar,2.0,1718.0,3.0,288.0
Kasavanhalli,2.0,1200.0,2.0,78.0
Ramamurthy Nagar,4.0,886.0,4.0,120.0
Kengeri,2.0,1160.0,2.0,40.6
7th Phase JP Nagar,2.0,1130.0,2.0,85.0
Vasantha Vallabha Nagar,3.0,1600.0,3.0,76.0
Vidyaranyapura,2.0,1188.0,2.0,50.0
Raja Rajeshwari Nagar,3.0,1560.0,2.0,62.4
Jalahalli,2.0,1083.0,2.0,32.49
Amblipura,3.0,1300.0,2.0,80.0
Whitefield,2.0,1125.0,2.0,40.0
Yeshwanthpur,5.0,850.0,4.0,90.0
Electronic City,3.0,1320.0,2.0,38.13
Jigani,3.0,1221.0,3.0,65.0
Jigani,2.0,914.0,2.0,55.0
Haralur Road,2.0,1140.0,2.0,43.0
Whitefield,2.0,1140.0,2.0,56.0
Doopanahalli,3.0,1625.0,3.0,150.0
Hormavu,3.0,1365.0,2.0,65.0
Kanakpura Road,3.0,1610.0,2.0,55.0
Horamavu Agara,2.0,1213.0,2.0,38.1
Cholanayakanahalli,3.0,1370.0,2.0,75.0
Sarjapur,3.0,3009.0,3.0,330.0
Hormavu,2.0,1310.0,2.0,67.0
Poorna Pragna Layout,2.0,920.0,2.0,39.55
Karnataka Shabarimala,4.0,1200.0,6.0,70.0
Kengeri Satellite Town,4.0,4100.0,3.0,300.0
7th Phase JP Nagar,3.0,1370.0,2.0,54.79
Akshya Nagar,3.0,1320.0,2.0,58.0
Daadys Gaarden Layout,3.0,1740.0,3.0,55.0
SK Garden,6.0,1850.0,3.0,175.0
Marathahalli,2.0,1200.0,2.0,67.0
Sarjapur  Road,2.0,1019.0,2.0,62.0
JP Nagar,2.0,1250.0,2.0,60.0
TC Palaya,3.0,1200.0,3.0,66.0
Cox Town,3.0,1730.0,3.0,140.0
Whitefield,3.0,1740.0,3.0,95.0
Anekal,2.0,1035.0,2.0,38.3
Budigere,3.0,1636.0,3.0,92.0
Kanakpura Road,3.0,1450.0,3.0,62.4
Vadarpalya,3.0,1750.0,3.0,85.0
BTM Layout,3.0,1470.0,2.0,99.0
OLd Gurappanapalya,3.0,1250.0,3.0,39.0
Uttarahalli,3.0,1560.0,3.0,74.0
Devanahalli,4.0,2400.0,5.0,190.0
Vijayanagar,3.0,1520.0,2.0,103.0
Bhoganhalli,2.0,1205.0,2.0,64.47
Bhoganhalli,2.0,910.2,2.0,80.64
2nd Phase Judicial Layout,2.0,1150.0,2.0,40.25
Neelasandra,4.0,1140.0,3.0,145.0
Vidyaranyapura,3.0,1440.0,2.0,70.0
Chandapura,3.0,1162.5,,30.215
Indira Nagar,4.0,2400.0,5.0,1250.0
Hennur Road,3.0,1933.0,3.0,140.0
Whitefield,2.0,1200.0,2.0,45.84
Vittasandra,2.0,1404.0,2.0,69.3
Electronic City,2.0,1165.0,2.0,33.65
Haralur Road,3.0,1850.0,3.0,120.0
Haralur Road,2.0,1225.0,2.0,67.38
Hennur Road,2.0,1359.0,2.0,104.0
Harlur,2.0,1225.0,2.0,56.0
Thanisandra,3.0,1370.0,2.0,61.0
Balagere,1.0,675.0,1.0,45.0
Hormavu,2.0,1310.0,2.0,60.0
Balagere,2.0,1007.0,2.0,65.0
Mysore Road,3.0,1340.0,2.0,64.31
Kothannur,2.0,1070.0,2.0,42.79
Yelahanka,3.0,1620.0,3.0,90.0
6th block Koramangala,3.0,2350.0,3.0,400.0
Kothanur,4.0,1140.0,4.0,90.0
Kanakpura Road,1.0,525.0,,21.53
Rajiv Nagar,4.0,2330.0,5.0,175.0
EPIP Zone,3.0,2210.0,3.0,165.0
KR Puram,4.0,3000.0,4.0,235.0
Marathahalli,3.0,1530.0,3.0,71.0
Sarjapur  Road,3.0,1814.0,3.0,63.0
Bharathi Nagar,2.0,1384.0,2.0,59.0
Hegde Nagar,3.0,1801.0,3.0,140.0
Mico Layout,2.0,1190.0,2.0,39.25
Peenya,5.0,1440.0,5.0,110.0
Haralur Road,2.0,1027.0,2.0,44.0
Banashankari,3.0,3580.0,3.0,411.0
Pai Layout,2.0,1400.0,2.0,57.5
Adityanagar,5.0,875.0,5.0,120.0
CV Raman Nagar,2.0,1040.0,2.0,50.0
Whitefield,2.0,1270.0,2.0,94.0
Harlur,2.0,1200.0,2.0,49.5
Binny Pete,3.0,1282.0,3.0,178.0
Whitefield,3.0,1870.0,3.0,90.0
Kodathi,2.0,829.0,2.0,22.8
Mahadevpura,2.0,1192.0,2.0,75.0
Hormavu,2.0,1180.0,2.0,50.0
Begur Road,2.0,1160.0,2.0,44.0
Marathahalli,2.0,1360.0,2.0,103.0
Electronic City Phase II,2.0,911.0,2.0,26.5
R.T. Nagar,9.0,1200.0,10.0,180.0
Marathahalli,3.0,1350.0,3.0,72.0
TC Palaya,3.0,1200.0,2.0,66.0
Bellandur,3.0,1767.0,3.0,109.0
Kathreguppe,8.0,1200.0,8.0,250.0
7th Phase JP Nagar,4.0,2503.0,4.0,188.0
Sarjapur  Road,2.0,1367.0,2.0,80.0
Yelahanka,2.0,1362.0,2.0,66.0
TC Palaya,2.0,1200.0,2.0,65.0
Budigere,3.0,1636.0,3.0,85.0
Kasavanhalli,2.0,1230.0,2.0,66.25
Rajaji Nagar,3.0,1640.0,3.0,220.0
Gopalapura,4.0,3179.0,5.0,351.0
Hegde Nagar,3.0,1584.01,3.0,103.0
Sarjapur  Road,3.0,1525.0,2.0,63.0
Badavala Nagar,2.0,1274.0,2.0,81.0
Rajaji Nagar,3.0,2300.0,3.0,369.0
Malleshwaram,3.0,2475.0,4.0,300.0
Bisuvanahalli,2.0,845.0,2.0,33.0
Haralur Road,4.0,2805.0,4.0,154.0
Ashwathnagar,3.0,2204.0,2.0,305.0
Whitefield,3.0,1396.0,3.0,74.0
Hennur Road,3.0,2047.0,3.0,67.55
Kudlu,2.0,1143.0,2.0,55.0
Whitefield,3.0,1200.0,3.0,56.72
Kanakpura Road,2.0,2200.0,2.0,62.0
Anekal,2.0,888.0,2.0,34.0
3rd Phase Iti Layout,2.0,1145.0,2.0,63.0
Whitefield,2.0,1250.0,2.0,85.0
Hormavu,2.0,1018.0,2.0,50.8
Sahakara Nagar,2.0,1180.0,2.0,72.0
Wajid layout thanisandra,4.0,3000.0,5.0,100.0
Whitefield,4.0,5000.0,4.0,400.0
Hennur Road,2.0,1165.0,2.0,67.0
Jalahalli,1.0,600.0,1.0,37.0
ISRO Layout,2.0,1000.0,2.0,60.0
Begur Road,3.0,1410.0,2.0,44.42
Whitefield,2.0,1216.0,2.0,73.0
RK Colony,9.0,1200.0,9.0,230.0
Babusapalaya,3.0,1213.0,2.0,41.39
Tejaswini Nagar,3.0,1560.0,3.0,85.0
Himagiri Meadows,4.0,1350.0,4.0,175.0
Attibele,2.0,1200.0,2.0,42.0
Lingadheeranahalli,3.0,1894.0,4.0,114.0
9th Phase JP Nagar,1.0,600.0,1.0,20.0
Konanakunte,9.0,1590.0,6.0,150.0
Banashankari,2.0,1200.0,2.0,49.0
Yelahanka,6.0,1200.0,5.0,150.0
Kanakapura,2.0,1020.0,2.0,42.83
Whitefield,3.0,4800.0,4.0,600.0
Whitefield,2.0,1096.0,2.0,39.0
Yeshwanthpur,3.0,1852.0,3.0,160.0
Chandapura,3.0,1208.51,3.0,42.0
Malleshpalya,2.0,1421.0,2.0,90.0
Hulimavu,4.0,2000.0,4.0,100.0
Nelamangala,4.0,1470.0,4.0,34.5
Babusapalaya,2.0,1084.0,2.0,58.0
Banashankari Stage III,3.0,1305.0,2.0,60.0
Pampa Extension,2.0,993.0,2.0,45.5
Kothanur,2.0,1185.0,2.0,59.0
Jigani,3.0,1300.0,3.0,150.0
Kothannur,2.0,1197.0,2.0,47.8
Whitefield,2.0,1109.0,2.0,35.47
OMBR Layout,4.0,3400.0,4.0,275.0
8th Phase JP Nagar,6.0,1200.0,6.0,260.0
Silver Springs Layout,3.0,1550.0,2.0,70.0
Marathahalli,2.0,1102.0,2.0,53.67
Lakshminarayana Pura,3.0,1750.0,3.0,150.0
Uttarahalli,2.0,1101.0,2.0,45.0
Somasundara Palya,2.0,1186.0,2.0,76.0
Ramamurthy Nagar Extension,2.0,1185.0,2.0,42.66
Bannerghatta Road,3.0,1427.0,2.0,48.51
Kambipura,3.0,1082.0,2.0,45.0
Hormavu,2.0,1065.0,2.0,50.92
Babusapalaya,2.0,1141.0,2.0,46.0
Harlur,4.0,3385.0,4.0,260.0
Kempegowda Nagar,3.0,1665.0,3.0,105.0
Hanuman Nagar,3.0,2072.0,3.0,108.0
5th Phase JP Nagar,2.0,1390.0,2.0,65.0
Chamundi Nagar,7.0,2800.0,7.0,250.0
Ashwini layout,1.0,834.0,1.0,62.0
Lakshmi Layout,4.0,600.0,5.0,85.0
Basaveshwara Nagar,2.0,1180.0,2.0,58.0
Sarjapur  Road,3.0,2238.0,3.0,140.0
Babusapalaya,3.0,1410.0,2.0,65.0
Whitefield,2.0,1180.0,2.0,41.0
Harlur,3.0,1620.0,3.0,110.0
Gubbalala,3.0,1745.0,3.0,125.0
Hebbal,4.0,2790.0,4.0,198.0
Bannerghatta Road,2.0,892.0,2.0,39.0
Marathahalli,3.0,1130.0,2.0,58.0
Kadugodi,3.0,1900.0,3.0,108.0
Lake City,2.0,780.0,2.0,35.0
Nagarbhavi,3.0,1400.0,2.0,135.0
Hosa Road,3.0,1513.0,3.0,103.0
Seshadripuram,2.0,1217.0,2.0,164.0
7th Phase JP Nagar,2.0,1035.0,2.0,39.33
Whitefield,3.0,3850.0,5.0,316.0
Konanakunte,3.0,2791.0,3.0,223.0
 south,4.0,3420.0,3.0,410.0
Bhoganhalli,3.0,1458.0,3.0,78.45
Marsur,3.0,715.0,2.0,29.0
Banashankari Stage I,5.0,3000.0,4.0,170.0
4th T block Jayanagar,3.0,2100.0,3.0,220.0
Chamrajpet,2.0,1350.0,2.0,180.0
Pattandur Agrahara,2.0,797.0,2.0,32.0
Marathahalli,3.0,1583.0,3.0,105.0
Kumarapalli,3.0,1488.0,2.0,65.0
Kothannur,3.0,1215.0,2.0,48.6
Hennur Road,3.0,1192.0,2.0,62.0
Chikkathoguru,2.0,1045.0,2.0,42.0
7th Phase JP Nagar,2.0,1050.0,2.0,75.0
Sarjapur  Road,2.0,1044.0,2.0,34.77
Kaggalipura,2.0,950.0,2.0,39.0
Sanjeevini Nagar,3.0,2820.0,3.0,285.0
Marathahalli,4.0,3855.0,4.0,220.0
Vishveshwarya Layout,4.0,600.0,4.0,95.0
Hebbal,3.0,2600.0,3.0,199.0
Hosa Road,1.0,615.0,1.0,28.29
Sanjay nagar,3.0,1500.0,3.0,150.0
Sarjapur  Road,3.0,1939.0,3.0,98.0
Sarjapur,2.0,925.0,2.0,25.0
CV Raman Nagar,2.0,1225.0,2.0,48.0
Victoria Layout,2.0,1300.0,2.0,129.0
Hennur Road,3.0,2060.0,3.0,149.0
Anekal,1.0,456.0,1.0,15.0
2nd Block Bel Layout,3.0,1625.0,3.0,92.0
Electronic City,2.0,1125.0,2.0,28.13
Jakkur,3.0,1858.0,3.0,98.3
Austin Town,1.0,600.0,2.0,23.0
Sri Balaji Krupa Layout,4.0,1750.0,4.0,263.0
Yeshwanthpur,3.0,1860.0,3.0,168.0
Hoodi,2.0,1259.0,2.0,69.45
Electronic City,2.0,995.0,2.0,48.0
Kanakpura Road,4.0,2775.0,3.0,165.0
R.T. Nagar,2.0,1200.0,2.0,60.0
Harlur,3.0,1750.0,3.0,136.0
8th Phase JP Nagar,4.0,1200.0,4.0,140.0
Electronic City Phase II,2.0,829.0,2.0,22.8
Hoodi,2.0,1400.0,2.0,82.0
Ramamurthy Nagar,2.0,1101.0,2.0,50.0
Nehru Nagar,3.0,2167.0,3.0,170.0
JP Nagar,3.0,2500.0,3.0,135.0
8th block Koramangala,4.0,1650.0,3.0,300.0
Garudachar Palya,4.0,4500.0,5.0,400.0
Gottigere,3.0,1493.0,2.0,90.0
Whitefield,3.0,1200.0,3.0,56.0
Venkatapura,1.0,416.0,1.0,18.5
Laggere,7.0,1590.0,9.0,132.0
Kumbhena Agrahara,6.0,1200.0,5.0,150.0
Abbigere,2.0,1130.0,2.0,46.33
Nagarbhavi,1.0,300.0,1.0,20.0
KR Puram,4.0,2065.0,4.0,248.0
Whitefield,3.0,2280.0,4.0,126.0
Vijayanagar,1.0,492.0,1.0,40.0
Kundalahalli,3.0,1500.0,3.0,50.0
Whitefield,2.0,1170.0,2.0,56.0
Rajarajeshwari Nagara,3.0,1410.0,2.0,45.12
Dasarahalli,7.0,2400.0,3.0,150.0
Siddapura,4.0,14000.0,3.0,800.0
2nd Stage Nagarbhavi,3.0,600.0,4.0,100.0
Kudlu Gate,3.0,1432.0,2.0,61.11
TC Palaya,2.0,1000.0,2.0,70.0
Yeshwanthpur,3.0,1713.0,3.0,110.0
Bellandur,7.0,700.0,8.0,100.0
Kodathi,2.0,850.0,2.0,27.0
Hongasandra,2.0,1065.0,2.0,45.0
Brookefield,2.0,1142.0,2.0,70.0
Bommasandra Industrial Area,3.0,1400.0,2.0,40.44
Hennur Road,3.0,1305.0,2.0,77.0
Nanjappa Garden,2.0,1275.0,2.0,55.0
Old Madras Road,3.0,1425.0,2.0,74.31
Bileshivale,4.0,5400.0,4.0,250.0
Brookefield,3.0,1746.0,3.0,115.0
Mahadevpura,2.0,1260.0,2.0,57.6
Rajaji Nagar,5.0,900.0,4.0,140.0
Kaval Byrasandra,2.0,1100.0,2.0,46.0
9th Phase JP Nagar,4.0,5000.0,4.0,290.0
Thanisandra,3.0,1265.0,2.0,79.0
Cambridge Layout,4.0,1600.0,3.0,165.0
Varanasi,2.0,1334.0,2.0,62.0
Bannerghatta Road,2.0,1206.0,2.0,53.0
Begur Road,3.0,1444.0,2.0,71.5
Nyanappana Halli,2.0,1140.0,2.0,49.0
Geddalahalli,5.0,1200.0,3.0,95.0
Kasavanhalli,3.0,1646.0,3.0,79.5
Bellandur,2.0,1049.0,2.0,51.0
Raja Rajeshwari Nagar,2.0,1240.0,2.0,53.27
TC Palaya,3.0,1600.0,2.0,65.0
Kothannur,2.0,1070.0,2.0,38.6
Malleshwaram,3.0,2475.0,4.0,337.0
Bannerghatta Road,2.0,1275.0,2.0,65.0
Yelahanka,2.0,1445.0,2.0,82.0
Kodichikkanahalli,3.0,1190.0,2.0,57.0
Guni Agrahara,7.0,1200.0,6.0,115.0
Akshaya Nagar,3.0,1690.0,3.0,85.0
Dasarahalli,3.0,1901.0,3.0,119.0
8th Phase JP Nagar,4.0,1200.0,3.0,110.0
Byrathi Village,4.0,900.0,3.0,51.0
Whitefield,2.0,1270.0,2.0,52.0
Sarjapur  Road,2.0,1115.0,2.0,50.0
Yelahanka,3.0,1600.0,2.0,75.0
Thanisandra,2.0,1276.0,2.0,75.0
Friends Colony,2.0,1035.0,2.0,44.0
Malleshwaram,3.0,2520.0,3.0,150.0
Sarjapur  Road,4.0,3900.0,4.0,300.0
Uttarahalli,2.0,1150.0,2.0,45.99
Cottonpet,4.0,971.0,2.0,135.0
Kalena Agrahara,3.0,1510.0,3.0,78.0
mvj engineering college,3.0,1200.0,3.0,56.53
Binny Pete,3.0,1282.0,3.0,178.0
Electronic City Phase II,2.0,545.0,1.0,29.0
Kodichikkanahalli,2.0,1060.0,2.0,34.0
Tejaswini Nagar,3.0,1410.0,2.0,54.0
Hulimavu,4.0,1500.0,4.0,192.0
Lakshminarayana Pura,3.0,1656.0,3.0,150.0
Frazer Town,3.0,1900.0,4.0,145.0
Sarjapur  Road,2.0,1026.0,2.0,60.8
R.T. Nagar,3.0,1140.0,3.0,130.0
Ckikkakammana Halli,2.0,902.0,2.0,42.0
Banashankari Stage VI,3.0,1410.5,2.0,70.385
Koramangala,3.0,1744.0,3.0,200.0
Mysore Road,2.0,883.0,2.0,40.0
Whitefield,2.0,1220.0,2.0,89.0
Whitefield,3.0,1704.0,3.0,120.0
Hennur,2.0,1255.0,2.0,52.32
Geddalahalli,2.0,893.0,2.0,34.5
Haralur Road,2.0,1300.0,2.0,79.0
Roopena Agrahara,3.0,1215.0,2.0,49.86
Vittasandra,2.0,1238.0,2.0,67.32
Kaval Byrasandra,2.0,997.0,2.0,53.0
R.T. Nagar,2.0,1100.0,2.0,85.0
Attibele,1.0,450.0,1.0,11.0
Raja Rajeshwari Nagar,3.0,1288.0,2.0,70.0
Ashirvad Colony,2.0,1100.0,2.0,53.0
Maruthi Sevanagar,2.0,950.0,2.0,44.0
Rajaji Nagar,2.0,1440.0,2.0,185.0
Shetty Halli,1.0,800.0,1.0,32.0
Shauhardha Layout,1.0,509.0,1.0,20.0
Bannerghatta Road,2.0,1270.0,2.0,45.0
Uttarahalli,3.0,1650.0,2.0,130.0
Kaggadasapura,3.0,1500.0,2.0,60.0
Hormavu,2.0,1150.0,2.0,53.11
Budigere,2.0,1153.0,2.0,56.5
Yelahanka,6.0,3600.0,6.0,200.0
Electronics City Phase 1,2.0,940.0,2.0,40.0
Whitefield,3.0,1840.0,3.0,140.0
Thigalarapalya,4.0,3362.0,5.0,249.0
Malleshwaram,3.0,2050.0,4.0,270.0
Rachenahalli,2.0,985.0,2.0,49.97
Anand nagar,2.0,1200.0,2.0,70.0
Whitefield,1.0,640.0,1.0,19.83
Basaveshwara Nagar,3.0,1200.0,3.0,190.0
Nagashetty Halli,4.0,16335.0,4.0,149.0
Rajaji Nagar,2.0,1268.0,2.0,127.0
Bellandur,3.0,1735.0,3.0,105.0
Hennur Road,2.0,973.0,2.0,56.0
Kasavanhalli,3.0,1494.0,3.0,82.0
8th Phase JP Nagar,3.0,1230.0,2.0,43.5
Bannerghatta Road,3.0,1655.0,2.0,62.89
Whitefield,2.0,1346.0,2.0,76.01
KG Halli,1.0,375.0,1.0,26.0
Banashankari,2.0,1020.0,2.0,40.79
Hosakerehalli,4.0,3205.0,5.0,500.0
Thanisandra,2.0,1220.0,2.0,43.92
