location,size,total_sqft,bath,predicted_price
Panathur,2,1195.0,2.0,5889616.083361084
Rayasandra,3,1458.0,3.0,7479726.666666666
Sonnenahalli,1,614.5,1.0,3443952.8571428573
Virat Nagar,2,1110.0,2.0,4886990.0
Sahakara Nagar,4,1200.0,4.0,16585000.0
Karuna Nagar,3,2500.0,3.0,16839000.0
Ulsoor,3,450.0,3.0,5157000.0
Whitefield,2,1186.0,2.0,7097496.666666668
Kasavanhalli,4,1863.0,3.0,15834250.0
Haralur Road,2,1315.0,2.0,7923117.619047619
6th Phase JP Nagar,2,1180.0,2.0,6432676.666666666
Ramamurthy Nagar,2,1200.0,2.0,6349769.119769119
5th Block Jayanagar,1,1500.0,1.0,6231590.0
Kengeri,2,1155.0,2.0,5131274.833333333
Hanumanth Nagar,2,1225.0,2.0,4943655.0
Munnekollal,3,1222.0,3.0,5853943.333333334
Hennur Road,2,1085.0,2.0,3912860.0
Bannerghatta Road,2,1200.0,2.0,5766022.857142857
Nehru Nagar,3,1674.0,3.0,9219523.333333334
Kanakpura Road,3,1200.0,2.0,7161177.777777778
Chamrajpet,6,1500.0,9.0,17834000.0
Ramamurthy Nagar,3,1400.0,3.0,6967040.0
Chandapura,3,1185.0,2.0,5313289.523809523
Jakkur,3,1760.0,3.0,12932790.0
Tumkur Road,3,1343.5,3.0,8111300.0
Haralur Road,1,575.0,1.0,3465625.0
Sarjapur,4,3854.5,6.0,28211166.66666667
Electronic City,2,1128.0,2.0,6537683.653592417
Uttarahalli,2,1125.0,2.0,4754357.7976190485
Iblur Village,2,1400.0,2.0,7267548.333333334
near Ramanashree California resort,6,3600.0,4.0,18799750.0
Pattanagere,2,850.0,2.0,3138475.0
Whitefield,4,2850.0,5.0,20609333.333333336
Hebbal,4,4235.0,4.0,41849166.666666664
Varthur,3,1615.0,3.0,8963990.0
Kasturi Nagar,5,1650.0,5.0,17820000.0
Banagiri Nagar,3,2008.0,3.0,13385666.66666667
Begur Road,3,1500.0,2.0,7837175.641686743
Kathriguppe,3,1250.0,2.0,6789940.0
Govindapura,2,1310.0,2.0,6684891.190476191
Anjanapura,3,1843.0,3.0,11544333.333333332
Near International Airport,2,1330.0,2.0,7983967.904761905
KR Puram,2,1550.0,2.0,7392403.333333332
Yelenahalli,2,1260.0,2.0,5886742.0
Green Glen Layout,3,1575.0,3.0,9247208.80952381
Sarjapura - Attibele Road,2,1308.0,2.0,6828648.333333332
Raja Rajeshwari Nagar,2,1306.0,2.0,5312163.261904762
Avalahalli,3,2045.0,3.0,13781416.666666664
NGR Layout,2,1021.0,2.0,4725529.880952381
Sarjapur  Road,3,2275.0,4.0,18165051.190476194
Talaghattapura,2,921.0,2.0,3382286.666666666
Thanisandra,3,1732.0,3.0,10391419.833333336
Nagavara,3,2430.0,4.0,21424650.000000004
Haralur Road,1,575.0,1.0,3465625.0
Choodasandra,2,1115.0,2.0,4964670.0
Tindlu,7,7500.0,7.0,111008000.0
Marathahalli,2,1125.0,2.0,5430651.111111112
Talaghattapura,3,2254.0,3.0,16449191.666666668
Harlur,3,1709.0,3.0,11116505.238095239
Marathahalli,3,1600.0,3.0,9097071.428571427
Sahakara Nagar,3,2400.0,3.0,17602000.0
Electronic City Phase II,3,1310.0,2.0,5584970.0
Jalahalli,3,1615.0,3.0,10672690.0
Anjanapura,3,1347.0,2.0,6286128.0
Doctors Layout,3,1450.0,3.0,7224549.76190476
Meenakunte,3,3900.0,3.0,29602000.0
Kodichikkanahalli,2,1025.0,2.0,4387536.388888889
Yelahanka,3,1282.0,2.0,6874100.0
Sarjapur  Road,3,1525.0,2.0,8865601.960784314
Seetharampalya,3,1500.0,3.0,8511440.0
Gollarapalya Hosahalli,3,1605.0,3.0,8921500.0
Horamavu Agara,2,1107.83,2.0,4343750.0
Rajaji Nagar,3,2533.0,3.0,38748166.666666664
Electronic City,2,975.0,2.0,5091110.952380952
Indira Nagar,4,2800.0,4.0,44701583.33333333
Yelahanka New Town,2,1100.0,2.0,5267950.0
Sree Narayana Nagar,3,1358.0,3.0,6168375.0
KR Puram,3,1559.0,3.0,8308086.666666666
Billekahalli,3,2400.0,3.0,17602000.0
Kodigehaali,2,1117.0,2.0,4837500.0
Hennur,2,1255.0,2.0,5504431.766212981
Ittamadu,5,1200.0,4.0,11194500.0
Vijinapura,2,1290.0,2.0,7090018.333333332
Uttarahalli,3,1345.0,2.0,5842930.0
Bagalakunte,2,1200.0,4.0,14432000.0
Akshaya Nagar,3,1476.0,3.0,8375140.0
 Rachenahalli,1,440.0,1.0,2061960.0
Thigalarapalya,3,2072.0,4.0,15480622.60982482
Bhuvaneshwari Nagar,2,1100.0,2.0,5272950.0
Chikkalasandra,5,1000.0,4.0,11377500.0
Anekal,2,1200.0,1.0,3618200.0
Peenya,2,708.0,1.0,3781956.166666666
Vasanth nagar,6,2295.0,3.0,25059783.333333336
Kudlu,4,2100.0,3.0,13508523.809523812
Chikkabanavar,2,1067.0,2.0,5046916.666666667
Maruthi Sevanagar,4,2000.0,3.0,12084500.0
Bellandur,2,1201.0,2.0,5831141.666666668
Bellandur,2,1251.0,2.0,5935735.476190478
Kambipura,3,1082.0,2.0,5588169.047619049
Marathahalli,2,1270.0,2.0,6761748.333333332
Mylasandra,1,500.0,2.0,2229046.6666666665
Kammanahalli,4,2900.0,4.0,23769000.0
Chikkalasandra,3,1428.0,2.0,7318652.5
Chamrajpet,3,1565.0,3.0,9132522.222222222
7th Phase JP Nagar,3,1400.0,3.0,8239620.0
Hennur Road,2,1040.0,2.0,5165198.333333334
Anandapura,2,1200.0,2.0,5569419.047619048
Tindlu,2,1050.0,2.0,4704623.75
Whitefield,5,3453.0,4.0,49942000.0
Kothanur,2,1142.0,2.0,5534750.0
Kengeri Satellite Town,4,650.0,2.0,7966000.0
Sarjapur  Road,3,1700.0,3.0,12060111.946386948
Ramamurthy Nagar,5,3500.0,5.0,30152000.0
Hegde Nagar,3,1569.0,3.0,10505333.333333334
Hennur Road,3,2002.0,3.0,12464166.666666668
Ramakrishnappa Layout,3,2770.0,3.0,28558750.0
BTM Layout,6,3300.0,6.0,18315000.0
Whitefield,2,1400.0,2.0,8908973.333333334
Electronics City Phase 1,2,1175.0,2.0,6494035.333333334
Hennur Road,2,1030.0,2.0,5227962.500000001
Marsur,3,1000.0,4.0,11114000.0
Electronic City,2,1250.0,2.0,6549697.619047618
Yelahanka,2,870.0,2.0,3886420.0
Thanisandra,3,1690.0,3.0,11019519.603174604
Hebbal Kempapura,3,1466.0,2.0,8189720.0
Domlur,3,1540.0,3.0,7910515.833333334
Yelahanka,3,1835.0,3.0,10184775.0
Ambalipura,3,1817.0,3.0,11908775.333333336
8th Phase JP Nagar,1,500.0,1.0,2659556.6666666665
Kengeri Satellite Town,2,635.0,1.0,2612263.3333333335
Kundalahalli Colony,2,1280.0,2.0,6393866.666666666
Govindaraja Nagar Ward,2,840.0,2.0,3310763.4126984123
Whitefield,2,1205.0,2.0,7186336.463100749
Kodigehaali,2,1166.0,2.0,4812323.333333333
Hongasandra,2,1180.0,2.0,5608500.0
Whitefield,2,1200.0,2.0,7186336.463100749
Kodbisanhalli,2,1012.0,2.0,5936100.0
Kanakpura Road,2,1332.0,2.0,9288921.0
Garudachar Palya,3,1320.0,2.0,6274370.0
Varthur,2,674.0,1.0,2862442.380952381
Dodda Nekkundi,2,1260.0,2.0,5800190.0
Mallasandra,3,1665.0,3.0,8957011.428571427
Kanakpura Road,3,1050.0,2.0,5424428.832866481
Akshya Nagar,2,1380.0,2.0,8096300.0
Kammanahalli,4,1600.0,4.0,12948766.666666668
Vyalikaval,2,1100.0,2.0,5267950.0
Jalahalli,3,980.0,2.0,5643690.0
NRI Layout,5,2500.0,5.0,11672916.666666664
HSR Layout,4,2500.0,4.0,16851509.523809522
Marathahalli,5,2500.0,3.0,11607500.0
Ilyas Nagar,4,600.0,3.0,7465750.0
Varsova Layout,6,7000.0,6.0,66560000.0
Raja Rajeshwari Nagar,2,1400.0,2.0,6151031.61904762
Raja Rajeshwari Nagar,2,1143.0,2.0,4376051.944444444
Vijayanagar,2,1200.0,2.0,6123822.857142857
Kodbisanhalli,4,4800.0,5.0,41988500.0
Doddathoguru,2,1105.0,2.0,4152000.0000000005
Chellikere,2,1088.0,2.0,4673204.333333334
Kumarapalli,3,1488.0,2.0,7221198.333333334
Koramangala,2,1084.0,2.0,8468985.0
Thigalarapalya,2,1418.0,2.0,10324797.113997117
Kenchenahalli,3,480.0,3.0,6785600.0
Hennur Road,3,1482.0,2.0,8442887.17857143
Whitefield,2,1140.0,2.0,7238175.238095238
Haralur Road,3,2017.0,2.0,14552180.0
Battarahalli,2,1090.0,2.0,4621404.833333333
Kothnoor Dinne,2,1200.0,2.0,5297615.714285715
Shikaripalya,2,1025.0,2.0,4363855.833333334
Sarjapura - Attibele Road,5,3750.0,6.0,29885500.0
Bisuvanahalli,3,1080.0,2.0,5095447.277722279
Poorna Pragna Layout,2,1160.0,2.0,4754010.0
Sarjapur  Road,2,1067.0,2.0,5859390.0
Thigalarapalya,2,1418.0,2.0,10324797.113997117
Balagere,2,1210.0,2.0,7983821.03174603
Sarjapur  Road,3,1846.0,3.0,14328142.857142858
Sarjapur  Road,2,1320.0,2.0,8121483.333333332
Nrupathunga Nagar,7,1200.0,5.0,16479000.0
Lakshminarayana Pura,3,3050.0,2.0,19107000.0
Iblur Village,3,2666.0,4.0,21015250.0
JP Nagar,2,1300.0,2.0,8185930.0
Balaji Gardens Layout,1,825.0,2.0,3842431.666666667
Nallurhalli,2,1250.0,2.0,6010094.285714285
Singanayakanahalli,3,1500.0,2.0,8264398.859579963
Whitefield,3,2225.0,3.0,15760333.333333332
Hebbal Kempapura,4,1200.0,3.0,12965150.0
Sarjapur  Road,2,1320.0,2.0,8121483.333333332
Sompura,4,2150.0,3.0,16288293.333333336
S R Layout,2,1096.0,2.0,4206820.0
Banashankari Stage III,3,1480.0,3.0,8153490.0
Jp nagar 8th Phase .,10,12000.0,12.0,130570000.0
Gottigere,2,1170.0,2.0,5007760.0
Dodda Nekkundi,2,1148.0,2.0,5227370.0
Cox Town,2,1280.0,2.0,9760323.333333332
Harlur,3,1755.0,3.0,12016263.095238091
Begur Road,2,1215.0,2.0,4199813.783258408
P&T Layout,2,935.0,2.0,4263688.047619048
Uttarahalli,3,1590.0,3.0,10006023.333333332
Kudlu,2,1162.0,2.0,5530146.666666668
Whitefield,2,1240.0,2.0,7696735.384004883
Jigani,2,918.0,2.0,5218785.107115108
Nagappa Reddy Layout,2,1100.0,2.0,5267950.0
Varthur,2,986.0,2.0,4645226.666666667
Veerannapalya,2,950.0,2.0,4455620.0
Lingadheeranahalli,3,1530.0,2.0,7705648.402342754
Margondanahalli,2,1140.0,2.0,4973994.507326008
Kattigenahalli,7,4100.0,7.0,14122000.0
Balagere,2,1205.0,2.0,7708118.507936508
Whitefield,2,1355.0,3.0,6792646.666666666
Bisuvanahalli,2,945.0,2.0,4603021.666666667
Yelahanka New Town,2,860.0,1.0,4532363.333333334
Whitefield,4,2155.0,3.0,15683793.33333333
Sarjapur  Road,2,1115.0,2.0,6026000.0
Horamavu Agara,2,755.0,2.0,3754973.7619047617
Kodigehaali,4,1200.0,4.0,11855000.0
Maragondanahalli,2,720.0,2.0,3383452.5
Raja Rajeshwari Nagar,2,1100.0,2.0,5269460.0
Richmond Town,3,1100.0,2.0,6249476.515151515
7th Phase JP Nagar,8,1200.0,8.0,16745500.0
Hennur Road,2,1232.0,2.0,7699678.278049827
Begur Road,2,1160.0,2.0,4013769.7210742487
Basaveshwara Nagar,8,1230.0,6.0,14484000.0
1st Stage Indira Nagar,4,3000.0,4.0,28068000.0
Rajaji Nagar,2,1718.0,3.0,25202750.0
Kasavanhalli,2,1200.0,2.0,5113683.571428571
Ramamurthy Nagar,4,886.0,4.0,8787000.0
Kengeri,2,1160.0,2.0,5184565.0
7th Phase JP Nagar,2,1130.0,2.0,6860000.0
Vasantha Vallabha Nagar,3,1600.0,3.0,8981833.333333334
Vidyaranyapura,2,1188.0,2.0,5111243.233082706
Raja Rajeshwari Nagar,3,1560.0,2.0,7987700.0
Jalahalli,2,1083.0,2.0,3959664.1428571427
Amblipura,3,1300.0,2.0,5983516.785714285
Whitefield,2,1125.0,2.0,7238470.0
Yeshwanthpur,5,850.0,4.0,9701000.0
Electronic City,3,1320.0,2.0,6211628.333333334
Jigani,3,1221.0,3.0,7140190.0
Jigani,2,914.0,2.0,4976936.571761573
Haralur Road,2,1140.0,2.0,4519454.906204906
Whitefield,2,1140.0,2.0,7238175.238095238
Doopanahalli,3,1625.0,3.0,9123561.666666666
Hormavu,3,1365.0,2.0,6557720.833333335
Kanakpura Road,3,1610.0,2.0,9661033.333333334
Horamavu Agara,2,1213.0,2.0,4847593.333333333
Cholanayakanahalli,3,1370.0,2.0,7031770.0
Sarjapur,3,3009.0,3.0,22815166.66666667
Hormavu,2,1310.0,2.0,5901608.333333334
Poorna Pragna Layout,2,920.0,2.0,4024781.714285714
Karnataka Shabarimala,4,1200.0,6.0,13712500.0
Kengeri Satellite Town,4,4100.0,3.0,38197011.9047619
7th Phase JP Nagar,3,1370.0,2.0,8905566.666666668
Akshya Nagar,3,1320.0,2.0,6026204.285714285
Daadys Gaarden Layout,3,1740.0,3.0,11028342.857142858
SK Garden,6,1850.0,3.0,13126607.142857142
Marathahalli,2,1200.0,2.0,7447655.158730161
Sarjapur  Road,2,1019.0,2.0,5973038.333333334
JP Nagar,2,1250.0,2.0,8974350.952380953
TC Palaya,3,1200.0,3.0,7086213.785714286
Cox Town,3,1730.0,3.0,11459133.333333332
Whitefield,3,1740.0,3.0,10736951.666666668
Anekal,2,1035.0,2.0,4761553.809523809
Budigere,3,1636.0,3.0,8703617.0
Kanakpura Road,3,1450.0,3.0,7224549.76190476
Vadarpalya,3,1750.0,3.0,11634283.333333332
BTM Layout,3,1470.0,2.0,8306280.0
OLd Gurappanapalya,3,1250.0,3.0,4191959.9999999995
Uttarahalli,3,1560.0,3.0,8850836.666666666
Devanahalli,4,2400.0,5.0,15237452.380952382
Vijayanagar,3,1520.0,2.0,10995952.11951447
Bhoganhalli,2,1205.0,2.0,6591376.666666666
Bhoganhalli,2,910.2,2.0,5756076.666666666
2nd Phase Judicial Layout,2,1150.0,2.0,4364864.583333334
Neelasandra,4,1140.0,3.0,12908140.0
Vidyaranyapura,3,1440.0,2.0,8213542.166666666
Chandapura,3,1162.5,,6093610.0
Indira Nagar,4,2400.0,5.0,60744833.33333333
Hennur Road,3,1933.0,3.0,12585500.0
Whitefield,2,1200.0,2.0,7186336.463100749
Vittasandra,2,1404.0,2.0,7008703.293650793
Electronic City,2,1165.0,2.0,5594157.472943723
Haralur Road,3,1850.0,3.0,11194000.0
Haralur Road,2,1225.0,2.0,7051630.215007217
Hennur Road,2,1359.0,2.0,6697334.333333334
Harlur,2,1225.0,2.0,7380651.118326118
Thanisandra,3,1370.0,2.0,7021870.0
Balagere,1,675.0,1.0,3575632.13095238
Hormavu,2,1310.0,2.0,5901608.333333334
Balagere,2,1007.0,2.0,6707635.238095238
Mysore Road,3,1340.0,2.0,5749948.0
Kothannur,2,1070.0,2.0,4567885.666666667
Yelahanka,3,1620.0,3.0,10064900.0
6th block Koramangala,3,2350.0,3.0,21446890.0
Kothanur,4,1140.0,4.0,16268500.0
Kanakpura Road,1,525.0,,2783428.244047619
Rajiv Nagar,4,2330.0,5.0,14400666.19047619
EPIP Zone,3,2210.0,3.0,18336366.666666664
KR Puram,4,3000.0,4.0,24834000.0
Marathahalli,3,1530.0,3.0,8356540.416666668
Sarjapur  Road,3,1814.0,3.0,11602023.333333336
Bharathi Nagar,2,1384.0,2.0,8124133.333333332
Hegde Nagar,3,1801.0,3.0,11343160.0
Mico Layout,2,1190.0,2.0,4809508.77463266
Peenya,5,1440.0,5.0,13151000.0
Haralur Road,2,1027.0,2.0,4387440.032190033
Banashankari,3,3580.0,3.0,27936000.0
Pai Layout,2,1400.0,2.0,7267548.333333334
Adityanagar,5,875.0,5.0,10094900.0
CV Raman Nagar,2,1040.0,2.0,4910224.166666667
Whitefield,2,1270.0,2.0,10562001.587301588
Harlur,2,1200.0,2.0,7456651.118326118
Binny Pete,3,1282.0,3.0,13206625.0
Whitefield,3,1870.0,3.0,13812750.0
Kodathi,2,829.0,2.0,3472336.666666667
Mahadevpura,2,1192.0,2.0,5246012.27463266
Hormavu,2,1180.0,2.0,5588730.0
Begur Road,2,1160.0,2.0,4013769.7210742487
Marathahalli,2,1360.0,2.0,9328090.0
Electronic City Phase II,2,911.0,2.0,3302066.666666666
R.T. Nagar,9,1200.0,10.0,16349500.0
Marathahalli,3,1350.0,3.0,8160000.0
TC Palaya,3,1200.0,2.0,6607044.64842928
Bellandur,3,1767.0,3.0,10446644.583333332
Kathreguppe,8,1200.0,8.0,14944500.0
7th Phase JP Nagar,4,2503.0,4.0,17080509.523809522
Sarjapur  Road,2,1367.0,2.0,7693043.333333332
Yelahanka,2,1362.0,2.0,7820370.0
TC Palaya,2,1200.0,2.0,6615395.634920635
Budigere,3,1636.0,3.0,8703617.0
Kasavanhalli,2,1230.0,2.0,5968260.0
Rajaji Nagar,3,1640.0,3.0,24429915.079365086
Gopalapura,4,3179.0,5.0,39619928.571428575
Hegde Nagar,3,1584.01,3.0,10257800.0
Sarjapur  Road,3,1525.0,2.0,8865601.960784314
Badavala Nagar,2,1274.0,2.0,8595621.42857143
Rajaji Nagar,3,2300.0,3.0,19283041.904761907
Malleshwaram,3,2475.0,4.0,32387964.213564213
Bisuvanahalli,2,845.0,2.0,3364862.3015873022
Haralur Road,4,2805.0,4.0,24427685.714285716
Ashwathnagar,3,2204.0,2.0,15796000.0
Whitefield,3,1396.0,3.0,7628951.904761905
Hennur Road,3,2047.0,3.0,12781583.333333336
Kudlu,2,1143.0,2.0,5305196.80952381
Whitefield,3,1200.0,3.0,6835362.619047619
Kanakpura Road,2,2200.0,2.0,12836400.0
Anekal,2,888.0,2.0,4007634.583333333
3rd Phase Iti Layout,2,1145.0,2.0,5238579.365079366
Whitefield,2,1250.0,2.0,7733076.930555555
Hormavu,2,1018.0,2.0,4453725.833333333
Sahakara Nagar,2,1180.0,2.0,5778825.238095238
Wajid layout thanisandra,4,3000.0,5.0,26167566.66666667
Whitefield,4,5000.0,4.0,45006000.0
Hennur Road,2,1165.0,2.0,5455216.666666668
Jalahalli,1,600.0,1.0,4047775.0
ISRO Layout,2,1000.0,2.0,5547375.0
Begur Road,3,1410.0,2.0,5526643.500000001
Whitefield,2,1216.0,2.0,7686999.553863486
RK Colony,9,1200.0,9.0,15271000.0
Babusapalaya,3,1213.0,2.0,8462450.0
Tejaswini Nagar,3,1560.0,3.0,8313836.666666666
Himagiri Meadows,4,1350.0,4.0,15074000.0
Attibele,2,1200.0,2.0,5297615.714285715
Lingadheeranahalli,3,1894.0,4.0,12616000.0
9th Phase JP Nagar,1,600.0,1.0,3297155.0
Konanakunte,9,1590.0,6.0,14675000.0
Banashankari,2,1200.0,2.0,5776002.857142857
Yelahanka,6,1200.0,5.0,16544500.0
Kanakapura,2,1020.0,2.0,5630400.666666666
Whitefield,3,4800.0,4.0,44787000.0
Whitefield,2,1096.0,2.0,5094770.0
Yeshwanthpur,3,1852.0,3.0,13844305.555555556
Chandapura,3,1208.51,3.0,5474616.666666668
Malleshpalya,2,1421.0,2.0,7456422.666666668
Hulimavu,4,2000.0,4.0,11259750.0
Nelamangala,4,1470.0,4.0,13351900.0
Babusapalaya,2,1084.0,2.0,4481372.0
Banashankari Stage III,3,1305.0,2.0,5891631.785714285
Pampa Extension,2,993.0,2.0,4315098.333333334
Kothanur,2,1185.0,2.0,5800896.666666668
Jigani,3,1300.0,3.0,6357580.0
Kothannur,2,1197.0,2.0,5543591.792717086
Whitefield,2,1109.0,2.0,6735696.666666666
OMBR Layout,4,3400.0,4.0,23377000.0
8th Phase JP Nagar,6,1200.0,6.0,18609333.333333332
Silver Springs Layout,3,1550.0,2.0,8023141.904761905
Marathahalli,2,1102.0,2.0,5418970.0
Lakshminarayana Pura,3,1750.0,3.0,13528816.666666664
Uttarahalli,2,1101.0,2.0,5305549.166666667
Somasundara Palya,2,1186.0,2.0,7072140.0
Ramamurthy Nagar Extension,2,1185.0,2.0,5004662.952380952
Bannerghatta Road,3,1427.0,2.0,7557510.0
Kambipura,3,1082.0,2.0,5588169.047619049
Hormavu,2,1065.0,2.0,4827305.000000001
Babusapalaya,2,1141.0,2.0,4738364.666666666
Harlur,4,3385.0,4.0,23451000.0
Kempegowda Nagar,3,1665.0,3.0,9092668.095238095
Hanuman Nagar,3,2072.0,3.0,12718916.666666668
5th Phase JP Nagar,2,1390.0,2.0,7646085.0
Chamundi Nagar,7,2800.0,7.0,11265000.0
Ashwini layout,1,834.0,1.0,5276150.0
Lakshmi Layout,4,600.0,5.0,7357500.0
Basaveshwara Nagar,2,1180.0,2.0,6380623.333333332
Sarjapur  Road,3,2238.0,3.0,19385583.33333333
Babusapalaya,3,1410.0,2.0,5961174.0
Whitefield,2,1180.0,2.0,7368150.000000001
Harlur,3,1620.0,3.0,9171630.0
Gubbalala,3,1745.0,3.0,11367120.743145745
Hebbal,4,2790.0,4.0,27355685.714285716
Bannerghatta Road,2,892.0,2.0,4490053.333333334
Marathahalli,3,1130.0,2.0,6156781.666666668
Kadugodi,3,1900.0,3.0,13315416.666666668
Lake City,2,780.0,2.0,3269155.0
Nagarbhavi,3,1400.0,2.0,7175645.0
Hosa Road,3,1513.0,3.0,10627499.999999998
Seshadripuram,2,1217.0,2.0,7557390.0
7th Phase JP Nagar,2,1035.0,2.0,4150350.6190476185
Whitefield,3,3850.0,5.0,35180666.66666667
Konanakunte,3,2791.0,3.0,25336000.0
 south,4,3420.0,3.0,23241500.0
Bhoganhalli,3,1458.0,3.0,7632726.666666666
Marsur,3,715.0,2.0,4611525.0
Banashankari Stage I,5,3000.0,4.0,27371000.0
4th T block Jayanagar,3,2100.0,3.0,13414666.666666664
Chamrajpet,2,1350.0,2.0,7818513.333333334
Pattandur Agrahara,2,797.0,2.0,3383148.5714285714
Marathahalli,3,1583.0,3.0,10796797.976190476
Kumarapalli,3,1488.0,2.0,7221198.333333334
Kothannur,3,1215.0,2.0,4716780.0
Hennur Road,3,1192.0,2.0,6339543.431372548
Chikkathoguru,2,1045.0,2.0,4843350.0
7th Phase JP Nagar,2,1050.0,2.0,5978679.523809525
Sarjapur  Road,2,1044.0,2.0,5778925.0
Kaggalipura,2,950.0,2.0,5374572.885447885
Sanjeevini Nagar,3,2820.0,3.0,21944000.0
Marathahalli,4,3855.0,4.0,33582250.0
Vishveshwarya Layout,4,600.0,4.0,8923000.000000002
Hebbal,3,2600.0,3.0,19976500.0
Hosa Road,1,615.0,1.0,4241975.0
Sanjay nagar,3,1500.0,3.0,8534606.666666668
Sarjapur  Road,3,1939.0,3.0,11388666.666666668
Sarjapur,2,925.0,2.0,3310306.666666667
CV Raman Nagar,2,1225.0,2.0,4692795.0
Victoria Layout,2,1300.0,2.0,10323960.0
Hennur Road,3,2060.0,3.0,13667583.333333332
Anekal,1,456.0,1.0,1542200.0
2nd Block Bel Layout,3,1625.0,3.0,9121165.0
Electronic City,2,1125.0,2.0,5956987.632521503
Jakkur,3,1858.0,3.0,12561666.666666664
Austin Town,1,600.0,2.0,3255615.0
Sri Balaji Krupa Layout,4,1750.0,4.0,16369750.0
Yeshwanthpur,3,1860.0,3.0,13641157.142857146
Hoodi,2,1259.0,2.0,6340254.0476190485
Electronic City,2,995.0,2.0,4908966.19047619
Kanakpura Road,4,2775.0,3.0,22639164.65201465
R.T. Nagar,2,1200.0,2.0,7368750.0
Harlur,3,1750.0,3.0,11795186.904761905
8th Phase JP Nagar,4,1200.0,4.0,20799583.333333332
Electronic City Phase II,2,829.0,2.0,3458411.666666667
Hoodi,2,1400.0,2.0,7806793.333333334
Ramamurthy Nagar,2,1101.0,2.0,6458916.666666668
Nehru Nagar,3,2167.0,3.0,18132666.666666668
JP Nagar,3,2500.0,3.0,17235000.0
8th block Koramangala,4,1650.0,3.0,14360933.333333336
Garudachar Palya,4,4500.0,5.0,41202583.33333333
Gottigere,3,1493.0,2.0,7743915.8008658
Whitefield,3,1200.0,3.0,6835362.619047619
Venkatapura,1,416.0,1.0,1889010.0
Laggere,7,1590.0,9.0,15162000.0
Kumbhena Agrahara,6,1200.0,5.0,14475500.0
Abbigere,2,1130.0,2.0,5168969.666666667
Nagarbhavi,1,300.0,1.0,2237810.0
KR Puram,4,2065.0,4.0,13139983.214497922
Whitefield,3,2280.0,4.0,17736033.333333336
Vijayanagar,1,492.0,1.0,2018145.238095238
Kundalahalli,3,1500.0,3.0,9833656.666666668
Whitefield,2,1170.0,2.0,7290190.0
Rajarajeshwari Nagara,3,1410.0,2.0,5980204.0
Dasarahalli,7,2400.0,3.0,24529000.0
Siddapura,4,14000.0,3.0,139591000.0
2nd Stage Nagarbhavi,3,600.0,4.0,10539000.0
Kudlu Gate,3,1432.0,2.0,7848072.5
TC Palaya,2,1000.0,2.0,5911000.0
Yeshwanthpur,3,1713.0,3.0,12310356.212121211
Bellandur,7,700.0,8.0,8952000.0
Kodathi,2,850.0,2.0,3138475.0
Hongasandra,2,1065.0,2.0,4843425.000000001
Brookefield,2,1142.0,2.0,6019734.666666668
Bommasandra Industrial Area,3,1400.0,2.0,7195645.0
Hennur Road,3,1305.0,2.0,9408426.785714285
Nanjappa Garden,2,1275.0,2.0,5953485.0
Old Madras Road,3,1425.0,2.0,7183900.0
Bileshivale,4,5400.0,4.0,39024000.0
Brookefield,3,1746.0,3.0,12191771.428571431
Mahadevpura,2,1260.0,2.0,5866865.0
Rajaji Nagar,5,900.0,4.0,10141800.0
Kaval Byrasandra,2,1100.0,2.0,5240950.0
9th Phase JP Nagar,4,5000.0,4.0,42080500.0
Thanisandra,3,1265.0,2.0,7595068.571428572
Cambridge Layout,4,1600.0,3.0,22543183.33333333
Varanasi,2,1334.0,2.0,7569323.0
Bannerghatta Road,2,1206.0,2.0,5951835.0
Begur Road,3,1444.0,2.0,7686133.0
Nyanappana Halli,2,1140.0,2.0,4743774.507326008
Geddalahalli,5,1200.0,3.0,12491000.0
Kasavanhalli,3,1646.0,3.0,9691410.0
Bellandur,2,1049.0,2.0,7063000.0
Raja Rajeshwari Nagar,2,1240.0,2.0,5060540.0
TC Palaya,3,1600.0,2.0,9381060.0
Kothannur,2,1070.0,2.0,4567885.666666667
Malleshwaram,3,2475.0,4.0,32387964.213564213
Bannerghatta Road,2,1275.0,2.0,6859240.0
Yelahanka,2,1445.0,2.0,8287728.0
Kodichikkanahalli,3,1190.0,2.0,5356672.378740969
Guni Agrahara,7,1200.0,6.0,15347000.0
Akshaya Nagar,3,1690.0,3.0,9136162.5
Dasarahalli,3,1901.0,3.0,12889416.666666664
8th Phase JP Nagar,4,1200.0,3.0,13215381.666666664
Byrathi Village,4,900.0,3.0,7035250.0
Whitefield,2,1270.0,2.0,10562001.587301588
Sarjapur  Road,2,1115.0,2.0,6026000.0
Yelahanka,3,1600.0,2.0,9479340.0
Thanisandra,2,1276.0,2.0,7892428.571428572
Friends Colony,2,1035.0,2.0,4761553.809523809
Malleshwaram,3,2520.0,3.0,33286393.073593076
Sarjapur  Road,4,3900.0,4.0,36373000.0
Uttarahalli,2,1150.0,2.0,5415720.119047618
Cottonpet,4,971.0,2.0,10684640.0
Kalena Agrahara,3,1510.0,3.0,8084280.0
mvj engineering college,3,1200.0,3.0,7086213.785714286
Binny Pete,3,1282.0,3.0,13206625.0
Electronic City Phase II,2,545.0,1.0,2938028.57142857
Kodichikkanahalli,2,1060.0,2.0,4677730.0
Tejaswini Nagar,3,1410.0,2.0,5947383.333333332
Hulimavu,4,1500.0,4.0,10034450.0
